cheie,valoare
topline,Roata vacanțelor
headline,"Travelminit, du-mă oriunde cu 9 RON!"
body1,Te-ai săturat și ai pleca oriunde într-o vacanță? Tot ceea ce ai nevoie sunt 9 RON și un pic de noroc!
body2,"În perioada 24 - 26 iunie 2026, zilnic la ora 12:00, roata se resetează cu noi premii, printre care și 3 vacanțe la 9 RON!"
body3,"Învârte roata și rezervă-ți premiul rapid! Mult noroc, călătorule!"
spinButton,Învârte roata
hub,Învârte
ctaPrize,Rezervă acum →
ctaCoupon,Folosește cuponul →
tryAgainTitle,Mai încearcă!
tryAgainDesc,"Norocul e pe aproape — învârte roata din nou și prinde-ți vacanța!"
